accDefRate,accExamCnt,accExamCompCnt,careCnt,clearCnt,createDt,deathCnt,examCnt,resutlNegCnt,seq,stateDt,stateTime,updateDt
,,,,1,2020-01-31 17:47:33.33,0,1,,1,20200101,18:00,2020-02-03 12:21:56.56
,,,,1,2020-01-31 17:47:33.33,0,1,,1,20200201,18:00,2020-01-31 17:47:33.33
,,,,2,2020-02-03 12:22:49.49,2,2,,2,20200202,09:00,2020-02-03 12:22:49.49
,,,,0,2020-02-03 14:41:17.17,0,0,,3,20200203,09:00,2020-02-03 14:41:17.17
,,,,0,2020-02-03 21:26:59.59,0,0,,4,20200204,00:00,2020-02-03 21:26:59.59
,,,,1,2020-02-05 20:05:40.40,0,40,,6,20200205,19:00,2020-02-05 20:05:40.40
,,,,1,2020-02-06 9:09:49.49,0,169,,7,20200206,09:00,2020-02-06 9:09:49.49
,,,,2,2020-02-07 17:20:45.45,0,327,,9,20200207,16:00,2020-02-07 17:20:45.45
,,,,2,2020-02-08 17:01:34.34,0,939,,14,20200208,16:00,2020-02-08 17:01:34.34
,,,,3,2020-02-09 16:59:21.21,0,888,,16,20200209,16:00,2020-02-09 16:59:21.21
,,,,3,2020-02-10 17:03:49.49,0,531,,18,20200210,16:00,2020-02-10 17:03:49.49
,,,,4,2020-02-11 17:09:25.25,0,762,,20,20200211,16:00,2020-02-11 17:09:25.25
,,,,7,2020-02-12 16:56:47.47,0,785,,22,20200212,16:00,2020-02-12 16:56:47.47
,,,,7,2020-02-13 17:09:07.07,0,562,,24,20200213,16:00,2020-02-13 17:09:07.07
,,,,7,2020-02-14 17:16:19.19,0,535,,26,20200214,16:00,2020-02-14 17:16:19.19
,,,,9,2020-02-15 17:00:21.21,0,558,,28,20200215,16:00,2020-02-15 17:00:21.21
,,,,9,2020-02-16 16:57:02.02,0,485,,30,20200216,16:00,2020-02-16 16:57:02.02
,,,,10,2020-02-17 16:50:47.47,0,708,,32,20200217,16:00,2020-02-17 16:50:47.47
,,,,12,2020-02-18 16:42:00.00,0,818,,35,20200218,16:00,2020-02-18 16:42:00.00
,,,,16,2020-02-19 17:00:13.13,0,1149,,37,20200219,16:00,2020-02-19 17:00:13.13
,,,,16,2020-02-20 17:12:33.33,1,1860,,39,20200220,16:00,2020-02-20 17:12:33.33
,,,,17,2020-02-21 17:13:21.21,1,3180,,42,20200221,16:00,2020-02-21 17:13:21.21
,,,,18,2020-02-22 17:00:28.28,2,6037,,44,20200222,16:00,2020-02-22 17:00:28.28
,,,,18,2020-02-23 17:05:12.12,5,8057,,46,20200223,16:00,2020-02-23 17:05:12.12
,,,,22,2020-02-24 17:03:50.50,7,11631,,48,20200224,16:00,2020-02-24 17:03:50.50
,,,,22,2020-02-25 17:02:03.03,10,13880,,50,20200225,16:00,2020-02-25 17:02:03.03
,,,,24,2020-02-26 17:00:43.43,12,20716,,52,20200226,16:00,2020-02-26 17:00:43.43
,,,,26,2020-02-27 17:32:06.06,13,25568,,54,20200227,16:00,2020-02-27 17:32:06.06
,,,,27,2020-02-28 17:01:59.59,13,30237,,56,20200228,16:00,2020-02-28 17:01:59.59
,,,,28,2020-02-29 17:16:20.20,17,35182,,58,20200229,16:00,2020-02-29 17:16:20.20
,,,,30,2020-03-01 17:41:45.45,18,33360,,60,20200301,16:00,2020-03-01 17:41:45.45
